English,Old ES,New ES,Old FR,New FR,ES Changed,FR Changed
Heating Coil NaturalGas Rate,Tasa de Gas Natural del Serpentín de Calefacción,Serpentín de Calefacción: Velocidad de Consumo de Gas Natural,Débit de gaz naturel de la bobine de chauffage,Serpentin de Chauffage: Débit de Gaz Naturel,Y,Y
Heating Coil OtherFuel1 Energy,Energía de Otro Combustible 1 del Serpentín de Calefacción,Serpentín de Calefacción: Energía Combustible Alternativo 1,Énergie Coil Chauffage OtherFuel1,Serpentin de Chauffage : Énergie Carburant Autre 1,Y,Y
Heating Coil OtherFuel1 Rate,Tasa de Otro Combustible 1 del Serpentín de Calefacción,Bobina de Calefacción: Tasa de Combustible Alternativo 1,Débit de la Batterie de Chauffage OtherFuel1,Serpentin de Chauffage : Débit de Combustible Auxiliaire 1,Y,Y
Heating Coil OtherFuel2 Energy,Energía de Otro Combustible 2 del Serpentín de Calefacción,Serpentín de Calefacción: Energía Otro Combustible 2,Énergie du serpentin de chauffage OtherFuel2,Serpentin de chauffage : Énergie Carburant2,Y,Y
Heating Coil OtherFuel2 Rate,Tasa de Otro Combustible 2 del Serpentín de Calefacción,Serpentín de Calefacción: Tasa de Combustible Alternativo 2,Débit de Combustible Auxiliaire 2 de la Batterie de Chauffage,Serpentin de Chauffage : Débit de Combustible Supplémentaire 2,Y,Y
Heating Coil Propane Energy,Energía de Propano del Serpentín de Calefacción,Serpentín de Calefacción: Energía de Propano,Énergie Propane de la Batterie de Chauffage,Serpentin de Chauffage: Énergie Propane,Y,Y
Heating Coil Propane Rate,Tasa de Propano del Serpentín de Calefacción,Serpentín de Calefacción: Tasa de Consumo de Propano,Débit de propane de la batterie de chauffage,Serpentin de chauffage: Débit de propane,Y,Y
Heating Coil Runtime Fraction,Fracción de Tiempo en Funcionamiento del Serpentín de Calefacción,Serpentín de Calefacción: Fracción de Tiempo de Operación,Fraction de temps de fonctionnement de la batterie de chauffage,Serpentin de Chauffage : Fraction de Fonctionnement,Y,Y
Heating Coil Source Side Heat Transfer Energy,Energía de Transferencia de Calor del Lado Fuente del Serpentín de Calefacción,Bobina de Calefacción: Energía de Transferencia de Calor del Lado Fuente,Énergie de transfert de chaleur côté source de la bobine de chauffage,Serpentin de Chauffage : Énergie de Transfert Thermique Côté Source,Y,Y
Heating Coil Total Heating Energy,Energía Total de Calefacción del Serpentín de Calefacción,Serpentín de Calefacción: Energía Total de Calefacción,Énergie de Chauffage Totale de la Batterie de Chauffage,Serpentin de Chauffage : Énergie de Chauffage Totale,Y,Y
Heating Coil Total Heating Rate,Tasa Total de Calefacción del Serpentín de Calefacción,Serpentín de Calefacción: Tasa Total de Calefacción,Débit de chauffage total de la batterie de chauffage,Serpentin de Chauffage: Puissance Totale de Chauffage,Y,Y
Heating Coil U Factor Times Area Value,Valor del Factor U por Área del Serpentín de Calefacción,Serpentín de Calefacción: Valor de Factor U por Área,Valeur du coefficient U fois la surface de la batterie de chauffage,Serpentin de Chauffage : Valeur du Coefficient U fois la Surface,Y,Y
Hot Water Equipment Convective Heating Energy,Energía de Calefacción Convectiva del Equipo de Agua Caliente,Equipo de Agua Caliente: Energía de Calefacción Convectiva,Énergie de chauffage par convection de l&apos;équipement d&apos;eau chaude,Équipement d'Eau Chaude : Énergie de Chauffage par Convection,Y,Y
Hot Water Equipment Convective Heating Rate,Tasa de Calefacción Convectiva del Equipo de Agua Caliente,Equipo de Agua Caliente: Tasa de Calentamiento Convectivo,Taux de chauffage par convection de l&apos;équipement d&apos;eau chaude,Équipement Eau Chaude: Débit de Chaleur Convectif,Y,Y
Hot Water Equipment District Heating Energy,Energía de Calefacción Distrital del Equipo de Agua Caliente,Equipo de Agua Caliente: Energía de Calefacción Distrital,Énergie de Chauffage Urbain des Équipements d&apos;Eau Chaude,Équipement Eau Chaude : Énergie de Chauffage Urbain,Y,Y
Hot Water Equipment District Heating Rate,Tasa de Calefacción Distrital del Equipo de Agua Caliente,Equipo de Agua Caliente: Potencia de Calefacción por Distrito,Taux de Chauffage Urbain des Équipements d&apos;Eau Chaude,Équipement Eau Chaude: Débit de Chauffage Urbain,Y,Y
Hot Water Equipment Latent Gain Energy,Energía de Ganancia Latente del Equipo de Agua Caliente,Equipo de Agua Caliente: Energía de Ganancia Latente,Énergie de Gain Latent de l&apos;Équipement d&apos;Eau Chaude,Équipement Eau Chaude: Énergie de Gain Latent,Y,Y
Hot Water Equipment Latent Gain Rate,Tasa de Ganancia Latente del Equipo de Agua Caliente,Equipo de Agua Caliente: Tasa de Ganancia Latente,Taux de Gain Latent de l&apos;Équipement d&apos;Eau Chaude,Équipement d'eau chaude : Débit de gain latent,Y,Y
Hot Water Equipment Lost Heat Energy,Energía de Calor Perdido del Equipo de Agua Caliente,Equipo de Agua Caliente: Energía Térmica Perdida,Énergie Thermique Perdue par l&apos;Équipement d&apos;Eau Chaude,Équipement d'eau chaude : Énergie thermique perdue,Y,Y
Hot Water Equipment Lost Heat Rate,Tasa de Calor Perdido del Equipo de Agua Caliente,Equipo de Agua Caliente: Tasa de Pérdida de Calor,Taux de perte de chaleur de l&apos;équipement d&apos;eau chaude,Équipement d'Eau Chaude : Débit de Chaleur Perdue,Y,Y
Hot Water Equipment Radiant Heating Energy,Energía de Calefacción Radiante del Equipo de Agua Caliente,Equipo de Agua Caliente: Energía de Calefacción Radiante,Énergie de chauffage radiant des équipements d&apos;eau chaude,Équipement d'Eau Chaude: Énergie de Chauffage Radiant,Y,Y
Hot Water Equipment Radiant Heating Rate,Tasa de Calefacción Radiante del Equipo de Agua Caliente,Equipo de Agua Caliente: Tasa de Calefacción Radiante,Débit de chauffage radiatif de l&apos;équipement d&apos;eau chaude,Équipement Eau Chaude: Puissance de Chauffage Radiant,Y,Y
Hot Water Equipment Total Heating Energy,Energía de Calefacción Total del Equipo de Agua Caliente,Equipo de Agua Caliente: Energía Total de Calefacción,Énergie Calorifique Totale de l&apos;Équipement d&apos;Eau Chaude,Équipements Eau Chaude: Énergie Thermique Totale,Y,Y
Hot Water Equipment Total Heating Rate,Tasa de Calefacción Total del Equipo de Agua Caliente,Equipo de Agua Caliente: Tasa de Calentamiento Total,Débit de chaleur total du matériel d&apos;eau chaude,Équipement Eau Chaude: Puissance de Chauffage Totale,Y,Y
Humidifier Electricity Energy,Energía Eléctrica del Humidificador,Humidificador: Energía Eléctrica,Énergie électrique de l&apos;humidificateur,Humidificateur : Énergie Électrique,Y,Y
Humidifier Electricity Rate,Tasa de Electricidad del Humidificador,Humidificador: Velocidad de Consumo Eléctrico,Débit électrique du humidificateur,Humidificateur : Puissance Électrique,Y,Y
Humidifier Mains Water Volume,Volumen de Agua de Red del Humidificador,Humidificador: Volumen de Agua de Suministro,Volume d&apos;eau de réseau de l&apos;humidificateur,Humidificateur : Volume d'eau du réseau,Y,Y
Humidifier Water Volume,Volumen de Agua del Humidificador,Humidificador: Volumen de Agua,Volume d&apos;eau de l&apos;humidificateur,Humidificateur : Volume d'eau,Y,Y
Humidifier Water Volume Flow Rate,Caudal Volumétrico de Agua del Humidificador,Humidificador: Caudal Volumétrico de Agua,Débit volumique d&apos;eau de l&apos;humidificateur,Humidificateur : Débit volumétrique d'eau,Y,Y
ITE Adjusted Return Air Temperature,Temperatura de Aire de Retorno Ajustada del ITE,ITE: Temperatura de Aire de Retorno Ajustada,Température de l&apos;air de retour ajustée pour les TI,ITE: Température de l'air de retour ajustée,Y,Y
ITE Air Mass Flow Rate,Caudal Másico de Aire del ITE,ITE: Flujo Másico de Aire,Débit massique d&apos;air ITE,ITE : Débit massique d'air,Y,Y
ITE Any Air Inlet Dewpoint Temperature Above Operating Range Time,Tiempo de Humedad Relativa del Aire de Entrada por Debajo del Rango de Funcionamiento en ITE,ITE: Tiempo de Temperatura de Punto de Rocío en Entrada de Aire por Encima del Rango de Operación,Température de point de rosée à l&apos;entrée d&apos;air ITE au-dessus de la plage de fonctionnement - Durée,ITE: Temps Pendant Lequel la Température de Rosée de l'Air à l'Entrée Dépasse la Plage de Fonctionnement,Y,Y
ITE Any Air Inlet Dewpoint Temperature Below Operating Range Time,Energía Eléctrica de CPU ITE en Condiciones de Diseño de Entrada,ITE: Tiempo de Temperatura de Punto de Rocío de Cualquier Entrada de Aire por Debajo del Rango de Operación,Temps pendant lequel la température de point de rosée de l&apos;air à l&apos;entrée est inférieure à la plage de fonctionnement,ITE: Temps durant lequel la Température de Point de Rosée d'Admission d'Air est sous la Plage de Fonctionnement,Y,Y
ITE Any Air Inlet Dry-Bulb Temperature Above Operating Range Time,Tasa de Electricidad de CPU de TI en Condiciones de Entrada de Diseño,ITE: Tiempo de Temperatura de Bulbo Seco de Cualquier Entrada de Aire por Encima del Rango de Operación,Température de bulbe sec à l&apos;entrée d&apos;air ITE au-dessus de la plage de fonctionnement - Temps,ITE: Temps Pendant Lequel la Température Sèche de l'Air à l'Entrée Dépasse la Plage de Fonctionnement,Y,Y
ITE Any Air Inlet Dry-Bulb Temperature Below Operating Range Time,Energía Eléctrica del Ventilador ITE en Condiciones de Entrada de Diseño,ITE: Tiempo con Temperatura de Bulbo Seco en Entrada de Aire por Debajo del Rango de Operación,Temps d&apos;entrée d&apos;air ITE à température de bulbe sec inférieure à la plage de fonctionnement,ITE: Temps d'Entrée d'Air à Température Sèche Inférieure à la Plage de Fonctionnement,Y,Y
ITE Any Air Inlet Operating Range Exceeded Time,Tasa de Electricidad del Ventilador ITE en Condiciones de Entrada de Diseño,ITE: Tiempo de Rango de Operación de Entrada de Aire Excedido,Plage de fonctionnement dépassée pour l&apos;admission d&apos;air quelconque de l&apos;équipement ITE,ITE: Temps de Dépassement de la Plage de Fonctionnement d'une Entrée d'Air Quelconque,Y,Y
ITE Any Air Inlet Relative Humidity Above Operating Range Time,Tiempo de Humedad Relativa de Entrada de Aire del ITE por Encima del Rango de Operación,ITE: Tiempo de Humedad Relativa del Aire en Entrada por Encima del Rango de Operación,ITE Humidité relative de l&apos;air à l&apos;entrée - Temps au-dessus de la plage de fonctionnement,ITE: Temps pendant lequel l'humidité relative de l'air entrant dépasse la plage de fonctionnement,Y,Y
ITE Any Air Inlet Relative Humidity Below Operating Range Time,Tiempo de Humedad Relativa de Entrada de Aire del ITE por Debajo del Rango de Operación,ITE: Tiempo con Humedad Relativa del Aire de Entrada por Debajo del Rango de Funcionamiento,ITE Any Air Inlet Relative Humidity Below Operating Range Time,ITE: Temps d'Humidité Relative d'Entrée d'Air en Dessous de la Plage de Fonctionnement,Y,Y
ITE Average Supply Heat Index,Índice de Calor de Suministro Promedio del ITE,ITE: Índice de Calor Medio de Suministro,Indice de chaleur d&apos;alimentation moyen ITE,ITE: Indice de Chaleur Moyen en Sortie,Y,Y
ITE CPU Electricity Energy,Energía Eléctrica de la CPU del ITE,ITE: Energía Eléctrica de CPU,Énergie électrique CPU ITE,ITE : Énergie électrique du processeur,Y,Y
ITE CPU Electricity Energy at Design Inlet Conditions,Energía Eléctrica de la CPU del ITE en Condiciones de Diseño de Entrada,ITE: Energía Eléctrica de CPU en Condiciones de Entrada de Diseño,Énergie électrique CPU ITE aux conditions d&apos;entrée de conception,ITE: Énergie Électrique du Processeur aux Conditions d'Entrée de Conception,Y,Y
ITE CPU Electricity Rate,Tasa de Electricidad de la CPU del ITE,ITE: Velocidad de Consumo Eléctrico de CPU,Taux d&apos;électricité du processeur ITE,ITE: Puissance Électrique CPU,Y,Y
ITE CPU Electricity Rate at Design Inlet Conditions,Tasa de Electricidad de la CPU del ITE en Condiciones de Diseño de Entrada,ITE: Potencia Eléctrica de CPU en Condiciones de Entrada de Diseño,Taux d&apos;électricité CPU ITE aux conditions d&apos;entrée de conception,ITE: Puissance Électrique du Processeur aux Conditions d'Entrée de Conception,Y,Y
ITE Fan Electricity Energy,Energía Eléctrica del Ventilador del ITE,ITE: Energía Eléctrica del Ventilador,Énergie électrique du ventilateur ITE,ITE : Énergie électrique du ventilateur,Y,Y
ITE Fan Electricity Energy at Design Inlet Conditions,Energía Eléctrica del Ventilador del ITE en Condiciones de Diseño de Entrada,ITE: Energía Eléctrica del Ventilador en Condiciones de Entrada de Diseño,Énergie électrique du ventilateur IT à des conditions d&apos;entrée de conception,ITE: Énergie électrique du ventilateur aux conditions d'entrée de conception,Y,Y
ITE Fan Electricity Rate,Tasa de Electricidad del Ventilador del ITE,ITE: Velocidad de Consumo Eléctrico del Ventilador,Taux d&apos;électricité du ventilateur ITE,ITE: Puissance électrique du ventilateur,Y,Y
ITE Fan Electricity Rate at Design Inlet Conditions,Tasa de Electricidad del Ventilador del ITE en Condiciones de Diseño de Entrada,ITE: Velocidad de Consumo Eléctrico del Ventilador en Condiciones de Entrada de Diseño,Taux d&apos;électricité du ventilateur ITE aux conditions d&apos;entrée en conception,ITE: Puissance Électrique du Ventilateur aux Conditions d'Entrée de Conception,Y,Y
ITE Standard Density Air Volume Flow Rate,Caudal Volumétrico de Aire a Densidad Estándar del ITE,ITE: Flujo Volumétrico de Aire a Densidad Estándar,Débit volumique d&apos;air à densité standard ITE,ITE: Débit volumique d'air à densité standard,Y,Y
ITE Total Heat Gain to Zone Energy,Energía de Ganancia de Calor Total a la Zona del ITE,ITE: Energía Total de Ganancia de Calor a la Zona,ITE Total Heat Gain to Zone Energy,ITE : Énergie totale du gain de chaleur vers la zone,Y,Y
ITE Total Heat Gain to Zone Rate,Tasa de Ganancia de Calor Total a la Zona del ITE,ITE: Tasa de Ganancia Total de Calor hacia la Zona,Débit total de chaleur générée par l&apos;équipement informatique vers la zone,ITE: Débit total de gains thermiques vers la zone,Y,Y
ITE UPS Electricity Energy,Energía Eléctrica del SAI del ITE,ITE: Energía Eléctrica UPS,Électricité UPS TI,ITE : Énergie Électrique du Système d'Alimentation Électrique,Y,Y
ITE UPS Electricity Rate,Tasa de Electricidad del SAI del ITE,ITE: Velocidad de Consumo Eléctrico del SAI,Taux d&apos;électricité des UPS informatiques,ITE: Débit Électrique du Groupe Électrogène de Secours,Y,Y
ITE UPS Heat Gain to Zone Energy,Energía de Ganancia de Calor del SAI a la Zona del ITE,ITE: Energía de Ganancia de Calor de UPS a la Zona,Gain de chaleur UPS ITE vers l&apos;énergie de la zone,ITE: Énergie de Gain de Chaleur UPS vers la Zone,Y,Y
ITE UPS Heat Gain to Zone Rate,Tasa de Ganancia de Calor del SAI a la Zona del ITE,ITE: Tasa de Ganancia de Calor de UPS hacia la Zona,ITE UPS Heat Gain to Zone Rate,ITE: Débit de Chaleur Dégagée vers la Zone,Y,Y
Ice Thermal Storage Ancillary Electricity Energy,Energía Eléctrica Auxiliar del Almacenamiento Térmico de Hielo,Almacenamiento Térmico de Hielo: Energía Eléctrica Auxiliar,Énergie électrique auxiliaire du stockage thermique sur glace,Stockage Thermique de Glace : Énergie Électrique Auxiliaire,Y,Y
Ice Thermal Storage Ancillary Electricity Rate,Tasa de Electricidad Auxiliar del Almacenamiento Térmico de Hielo,Almacenamiento Térmico de Hielo: Potencia Eléctrica Auxiliar,Taux d&apos;Électricité Auxiliaire de Stockage Thermique par Glace,Stockage Thermique Glace: Puissance Électrique Auxiliaire,Y,Y
Ice Thermal Storage Blended Outlet Temperature,Temperatura de Salida Mezclada del Almacenamiento Térmico de Hielo,Almacenamiento Térmico de Hielo: Temperatura de Salida Mezclada,Température de sortie mélangée du stockage thermique par glace,Stockage Thermique de Glace : Température de Sortie Mélangée,Y,Y
Ice Thermal Storage Bypass Mass Flow Rate,Caudal Másico en Bypass del Almacenamiento Térmico de Hielo,Almacenamiento Térmico de Hielo: Flujo Másico de Derivación,Débit massique de contournement du stockage thermique à glace,Stockage Thermique à Glace: Débit Massique en Dérivation,Y,Y
Ice Thermal Storage Change Fraction,Fracción de Cambio del Almacenamiento Térmico de Hielo,Almacenamiento Térmico de Hielo: Fracción de Cambio,Fraction de Changement de Stockage Thermique en Glace,Stockage Thermique de Glace: Variation de Fraction,Y,Y
Ice Thermal Storage Cooling Charge Energy,Energía de Carga de Enfriamiento del Almacenamiento Térmico de Hielo,Almacenamiento Térmico de Hielo: Energía de Carga de Enfriamiento,Énergie de charge du stockage thermique de glace pour refroidissement,Stockage Thermique de Glace : Énergie de Charge Frigorifique,Y,Y
Ice Thermal Storage Cooling Charge Rate,Tasa de Carga de Enfriamiento del Almacenamiento Térmico de Hielo,Almacenamiento Térmico de Hielo: Tasa de Carga de Enfriamiento,Taux de charge de refroidissement du stockage thermique par glace,Stockage Thermique Glace: Puissance de Charge de Refroidissement,Y,Y
Ice Thermal Storage Cooling Discharge Energy,Energía de Descarga de Enfriamiento del Almacenamiento Térmico de Hielo,Almacenamiento Térmico de Hielo: Energía de Enfriamiento Descargada,Énergie de décharge du refroidissement par stockage thermique de glace,Stockage Thermique par Glace: Énergie de Refroidissement Déchargée,Y,Y
Ice Thermal Storage Cooling Discharge Rate,Tasa de Descarga de Enfriamiento del Almacenamiento Térmico de Hielo,Almacenamiento Térmico de Hielo: Velocidad de Descarga de Enfriamiento,Débit de décharge de refroidissement du stockage thermique par glace,Stockage Thermique par Glace : Débit de Refroidissement à la Décharge,Y,Y
Ice Thermal Storage Cooling Rate,Tasa de Enfriamiento del Almacenamiento Térmico de Hielo,Almacenamiento Térmico de Hielo: Velocidad de Enfriamiento,Taux de refroidissement du stockage thermique par glace,Stockage Thermique à Glace : Puissance Frigorifique,Y,Y
Ice Thermal Storage End Fraction,Fracción Final del Almacenamiento Térmico de Hielo,Almacenamiento Térmico de Hielo: Fracción Final,Fraction de fin du stockage thermique par glace,Stockage Thermique de Glace: Fraction Finale,Y,Y
Ice Thermal Storage Fluid Inlet Temperature,Temperatura de Entrada del Fluido del Almacenamiento Térmico de Hielo,Almacenamiento Térmico de Hielo: Temperatura de Entrada del Fluido,Température d&apos;entrée du fluide de stockage thermique par glace,Stockage Thermique par Glace: Température d'entrée du fluide,Y,Y
Ice Thermal Storage Mass Flow Rate,Caudal Másico del Almacenamiento Térmico de Hielo,Almacenamiento Térmico de Hielo: Tasa de Flujo de Masa,Débit massique du stockage thermique à glaçons,Stockage Thermique à Glace : Débit Massique,Y,Y
Ice Thermal Storage On Coil Fraction,Fracción Sobre el Serpentín del Almacenamiento Térmico de Hielo,Almacenamiento Térmico de Hielo: Fracción en la Bobina,Fraction de stockage thermique de glace sur serpentin,Stockage Thermique par Glace: Fraction en Surface de l'Échangeur,Y,Y
Ice Thermal Storage Tank Mass Flow Rate,Caudal Másico del Tanque del Almacenamiento Térmico de Hielo,Almacenamiento Térmico de Hielo: Velocidad de Flujo de Masa del Tanque,Débit massique du réservoir de stockage thermique à glace,Stockage Thermique sur Glace : Débit Massique du Réservoir,Y,Y
Ice Thermal Storage Tank Outlet Temperature,Temperatura de Salida del Tanque del Almacenamiento Térmico de Hielo,Almacenamiento Térmico de Hielo: Temperatura de Salida del Tanque,Température de sortie du réservoir de stockage thermique de glace,Stockage Thermique de Glace : Température de Sortie du Réservoir,Y,Y
Ideal Loads Economizer Active Time,Tiempo Activo del Economizador de Cargas,Cargas Ideales: Tiempo Activo del Economizador,Durée d&apos;activité de l&apos;économiseur des charges idéales,Charges Idéales: Temps d'Activité de l'Économiseur,Y,Y
Ideal Loads Heat Recovery Active Time,Tiempo Activo de Recuperación de Calor de Cargas,Cargas Ideales: Tiempo Activo de Recuperación de Calor,Temps actif de récupération de chaleur des charges idéales,Charges Idéales: Temps Actif de Récupération de Chaleur,Y,Y
Ideal Loads Heat Recovery Latent Cooling Energy,Energía de Enfriamiento Latente por Recuperación de Calor de Cargas,Cargas Ideales: Energía de Enfriamiento Latente en Recuperación de Calor,Énergie de refroidissement latent par récupération de chaleur - Charges idéales,Charges Idéales: Énergie de Refroidissement Latent de la Récupération de Chaleur,Y,Y
Ideal Loads Heat Recovery Latent Cooling Rate,Tasa de Enfriamiento Latente por Recuperación de Calor de Cargas,Cargas Ideales: Velocidad de Enfriamiento Latente de Recuperación de Calor,Débit de refroidissement latent en récupération de chaleur - Charges idéales,Charges Idéales : Débit de Refroidissement Latent de la Récupération Thermique,Y,Y
Ideal Loads Heat Recovery Latent Heating Energy,Energía de Calefacción Latente por Recuperación de Calor de Cargas,Cargas Ideales: Energía de Calentamiento Latente de Recuperación de Calor,Énergie de chauffage latent de la récupération de chaleur des charges idéales,Charges Idéales : Énergie de Chauffage Latent de Récupération de Chaleur,Y,Y
Ideal Loads Heat Recovery Latent Heating Rate,Tasa de Calefacción Latente por Recuperación de Calor de Cargas,Cargas Ideales: Velocidad de Calentamiento Latente de Recuperación de Calor,Débit de chauffage sensible en récupération thermique Ideal Loads,Charges Idéales: Débit de Chaleur Latente Récupérée,Y,Y
Ideal Loads Heat Recovery Sensible Cooling Energy,Energía de Enfriamiento Sensible por Recuperación de Calor de Cargas,Cargas Ideales: Energía de Enfriamiento Sensible de Recuperación de Calor,Énergie de Refroidissement Sensible de la Récupération de Chaleur des Charges Idéales,Charges Idéales: Énergie de Refroidissement Sensible de la Récupération de Chaleur,Y,Y
Ideal Loads Heat Recovery Sensible Cooling Rate,Tasa de Enfriamiento Sensible por Recuperación de Calor de Cargas,Cargas Ideales: Tasa de Enfriamiento Sensible de Recuperación de Calor,Débit de refroidissement sensible du système de récupération de chaleur idéal,Charges Idéales: Débit de Refroidissement Sensible de la Récupération de Chaleur,Y,Y
Ideal Loads Heat Recovery Sensible Heating Energy,Energía de Calefacción Sensible por Recuperación de Calor de Cargas,Cargas Ideales: Energía de Calefacción Sensible del Recuperador de Calor,Énergie de Chauffage Sensible de la Récupération de Chaleur pour Charges Idéales,Charges Idéales : Énergie de Chauffage Sensible de la Récupération de Chaleur,Y,Y
Ideal Loads Heat Recovery Sensible Heating Rate,Tasa de Calefacción Sensible por Recuperación de Calor de Cargas,Cargas Ideales: Tasa de Calentamiento Sensible de Recuperación de Calor,Débit de récupération de chaleur sensible pour charges idéales de chauffage,Charges Idéales: Débit de Récupération de Chaleur Sensible,Y,Y
Ideal Loads Heat Recovery Total Cooling Energy,Energía Total de Enfriamiento por Recuperación de Calor de Cargas,Cargas Ideales: Energía Total de Enfriamiento de Recuperación de Calor,Énergie Totale de Refroidissement de la Récupération de Chaleur des Charges Idéales,Charges Idéales : Énergie Totale de Refroidissement de la Récupération de Chaleur,Y,Y
Ideal Loads Heat Recovery Total Cooling Rate,Tasa Total de Enfriamiento por Recuperación de Calor de Cargas,Cargas Ideales: Tasa Total de Enfriamiento por Recuperación de Calor,Idéal Loads Débit de Refroidissement Total avec Récupération de Chaleur,Charges Idéales: Débit de Refroidissement Total Récupération de Chaleur,Y,Y
Ideal Loads Heat Recovery Total Heating Energy,Energía Total de Calefacción por Recuperación de Calor de Cargas,Cargas Ideales: Energía Total de Calentamiento de Recuperación de Calor,Énergie Totale de Chauffage de la Récupération de Chaleur des Charges Idéales,Charges Idéales : Énergie Thermique Totale Récupérée,Y,Y
Ideal Loads Heat Recovery Total Heating Rate,Tasa Total de Calefacción por Recuperación de Calor de Cargas,Cargas Ideales: Tasa Total de Calentamiento de Recuperación de Calor,Débit de récupération de chaleur des charges idéales - Total chauffage,Charges Idéales: Débit de Chaleur Total Récupéré au Chauffage,Y,Y
Ideal Loads Hybrid Ventilation Available Status,Estado Disponible de Ventilación Híbrida de Cargas,Cargas Ideales: Estado de Disponibilidad de Ventilación Híbrida,Statut de disponibilité de la ventilation hybride des charges idéales,Charges Idéales: État de Disponibilité de la Ventilation Hybride,Y,Y
Ideal Loads Outdoor Air Latent Cooling Energy,Energía de Enfriamiento Latente del Aire Exterior de Cargas,Cargas Ideales: Energía de Enfriamiento Latente del Aire Exterior,Énergie de refroidissement latent de l&apos;air extérieur des charges idéales,Charges Idéales: Énergie de Refroidissement Latent de l'Air Extérieur,Y,Y
Ideal Loads Outdoor Air Latent Cooling Rate,Tasa de Enfriamiento Latente del Aire Exterior de Cargas,Cargas Ideales: Tasa de Enfriamiento Latente del Aire Exterior,Débit de refroidissement latent de l&apos;air extérieur pour Charges idéales,Charges Idéales : Débit de Refroidissement Latent de l'Air Extérieur,Y,Y
Ideal Loads Outdoor Air Latent Heating Energy,Energía de Calefacción Latente del Aire Exterior de Cargas,Cargas Ideales: Energía de Calentamiento Latente del Aire Exterior,Énergie de chauffage latent de l&apos;air extérieur des charges idéales,Charges Idéales : Énergie de Chauffage Latent de l'Air Extérieur,Y,Y
Ideal Loads Outdoor Air Latent Heating Rate,Tasa de Calefacción Latente del Aire Exterior de Cargas,Cargas Ideales: Tasa de Calentamiento Latente del Aire Exterior,Débit de chauffage latent de l&apos;air extérieur des charges idéales,Charges Idéales: Débit de Chaleur Latente d'Air Extérieur,Y,Y
Ideal Loads Outdoor Air Mass Flow Rate,Caudal Másico de Aire Exterior de Cargas,Cargas Ideales: Flujo Másico de Aire Exterior,Débit massique d&apos;air extérieur pour charges idéales,Charges Idéales: Débit Massique d'Air Extérieur,Y,Y
Ideal Loads Outdoor Air Sensible Cooling Energy,Energía de Enfriamiento Sensible del Aire Exterior de Cargas,Cargas Ideales: Energía de Enfriamiento Sensible del Aire Exterior,Énergie de refroidissement sensible de l&apos;air extérieur des charges idéales,Charges Idéales : Énergie de Refroidissement Sensible de l'Air Extérieur,Y,Y
Ideal Loads Outdoor Air Sensible Cooling Rate,Tasa de Enfriamiento Sensible del Aire Exterior de Cargas,Cargas Ideales: Tasa de Enfriamiento Sensible del Aire Exterior,Débit de refroidissement sensible de l&apos;air extérieur avec charges idéales,Charges Idéales : Débit de Refroidissement Sensible de l'Air Extérieur,Y,Y
Ideal Loads Outdoor Air Sensible Heating Energy,Energía de Calefacción Sensible del Aire Exterior de Cargas,Cargas Ideales: Energía de Calentamiento Sensible de Aire Exterior,Énergie de chauffage sensible de l&apos;air extérieur des charges idéales,Charges Idéales: Énergie de Chauffage Sensible de l'Air Extérieur,Y,Y
Ideal Loads Outdoor Air Sensible Heating Rate,Tasa de Calefacción Sensible del Aire Exterior de Cargas,Cargas Ideales: Tasa de Calentamiento Sensible de Aire Exterior,Idéal Loads - Taux de Chauffage Sensible de l&apos;Air Extérieur,Charge Idéale: Puissance Sensible de Chauffage d'Air Extérieur,Y,Y
Ideal Loads Outdoor Air Standard Density Volume Flow Rate,Caudal Volumétrico a Densidad Estándar del Aire Exterior de Cargas,Ideal Loads: Flujo Volumétrico de Aire Exterior a Densidad Estándar,Débit volumétrique de l&apos;air extérieur aux conditions normales - Charges Idéales,Charges Idéales : Débit volumique air extérieur à densité standard,Y,Y
Ideal Loads Outdoor Air Total Cooling Energy,Energía Total de Enfriamiento del Aire Exterior de Cargas,Cargas Ideales: Energía Total de Enfriamiento de Aire Exterior,Énergie de refroidissement totale de l&apos;air extérieur des charges idéales,Charges Idéales: Énergie Totale de Refroidissement de l'Air Extérieur,Y,Y
Ideal Loads Outdoor Air Total Cooling Rate,Tasa Total de Enfriamiento del Aire Exterior de Cargas,Cargas Ideales: Tasa Total de Enfriamiento del Aire Exterior,Débit de refroidissement total de l&apos;air extérieur - Charges idéales,Charges Idéales: Puissance de Refroidissement Totale de l'Air Extérieur,Y,Y
Ideal Loads Outdoor Air Total Heating Energy,Energía Total de Calefacción del Aire Exterior de Cargas,Cargas Ideales: Energía Total de Calefacción de Aire Exterior,Énergie de Chauffage Totale de l&apos;Air Extérieur des Charges Idéales,Charges Idéales : Énergie Totale de Chauffage de l'Air Extérieur,Y,Y
Ideal Loads Outdoor Air Total Heating Rate,Tasa Total de Calefacción del Aire Exterior de Cargas,Cargas Ideales: Tasa de Calentamiento Total del Aire Exterior,Débit calorique total de l&apos;air extérieur avec charges idéales,Charges Idéales: Débit de Chaleur Total de l'Air Extérieur,Y,Y
