English,Old ES,New ES,Old FR,New FR,ES Changed,FR Changed
Electric Equipment Lost Heat Rate,Tasa de Calor Perdido del Equipo Eléctrico,Equipo Eléctrico: Tasa de Calor Perdido,Débit de chaleur perdue pour équipements électriques,Équipement Électrique: Taux de Chaleur Perdue,Y,Y
Electric Equipment Radiant Heating Energy,Energía de Calefacción Radiante del Equipo Eléctrico,Equipo Eléctrico: Energía de Calefacción Radiante,Énergie de chauffage radiant due aux équipements électriques,Équipement Électrique : Énergie de Chauffage Radiant,Y,Y
Electric Equipment Radiant Heating Rate,Tasa de Calefacción Radiante del Equipo Eléctrico,Equipo Eléctrico: Tasa de Calentamiento Radiante,Taux de chauffage par rayonnement de l&apos;équipement électrique,Équipement Électrique : Débit de Chauffage Radiatif,Y,Y
Electric Equipment Total Heating Energy,Energía de Calefacción Total del Equipo Eléctrico,Equipo Eléctrico: Energía de Calentamiento Total,Énergie de chauffage totale de l&apos;équipement électrique,Équipement Électrique : Énergie Calorifique Totale,Y,Y
Electric Equipment Total Heating Rate,Tasa de Calefacción Total del Equipo Eléctrico,Equipo Eléctrico: Tasa de Calentamiento Total,Taux de chauffage total de l&apos;équipement électrique,Équipement électrique : Débit de chaleur total,Y,Y
Electric Load Center Produced Electricity Energy,Energía Eléctrica Producida por el Centro de Carga Eléctrica,Centro de Carga Eléctrica: Energía Eléctrica Producida,Énergie Électrique Produite par le Centre de Charge Électrique,Centre de Charge Électrique: Énergie Électrique Produite,Y,Y
Electric Load Center Produced Electricity Rate,Tasa de Electricidad Producida por el Centro de Carga Eléctrica,Centro de Carga Eléctrica: Tasa de Producción de Energía Eléctrica,Taux d&apos;électricité produite du centre de charge électrique,Centre de Charge Électrique: Débit d'Électricité Produite,Y,Y
Electric Load Center Produced Thermal Energy,Energía Térmica Producida por el Centro de Carga Eléctrica,Centro de Carga Eléctrica: Energía Térmica Producida,Énergie thermique produite par le centre de charge électrique,Centre de Charge Électrique : Énergie Thermique Produite,Y,Y
Electric Load Center Produced Thermal Rate,Tasa Térmica Producida por el Centro de Carga Eléctrica,Centro de Carga Eléctrica: Velocidad Térmica Producida,Taux thermique produit du centre de charge électrique,Centre de Charge Électrique : Débit Thermique Produit,Y,Y
Electric Load Center Requested Electricity Rate,Tasa de Electricidad Requerida por el Centro de Carga Eléctrica,Centro de Carga Eléctrica: Potencia Eléctrica Solicitada,Centre de Charge Électrique Taux d&apos;Électricité Demandé,Centre de Distribution Électrique : Puissance Électrique Demandée,Y,Y
Evaporative Cooler Dewpoint Bound Status,Estado del Límite de Punto de Rocío del Enfriador Evaporativo,Enfriador Evaporativo: Estado de Limitación por Punto de Rocío,Statut de limite du point de rosée du refroidisseur évaporatif,Refroidisseur évaporatif: État de limitation par point de rosée,Y,Y
Evaporative Cooler Electricity Energy,Energía Eléctrica del Enfriador Evaporativo,Enfriador Evaporativo: Energía Eléctrica,Énergie électrique du refroidisseur par évaporation,Refroidisseur Évaporatif: Énergie Électrique,Y,Y
Evaporative Cooler Electricity Rate,Tasa de Electricidad del Enfriador Evaporativo,Enfriador Evaporativo: Velocidad de Consumo Eléctrico,Taux d&apos;électricité du refroidisseur par évaporation,Refroidisseur Évaporatif : Puissance Électrique,Y,Y
Evaporative Cooler Mains Water Volume,Volumen de Agua de Red del Enfriador Evaporativo,Enfriador Evaporativo: Volumen de Agua de Red,Volume d&apos;eau réseau du refroidisseur évaporatif,Refroidisseur Évaporatif : Volume d'Eau de Réseau,Y,Y
Evaporative Cooler Operating Mode Satus,Estado del Modo de Operación del Enfriador Evaporativo,Enfriador Evaporativo: Estado del Modo de Operación,Mode de fonctionnement du refroidisseur évaporatif - Statut,Refroidisseur Évaporatif : État du Mode de Fonctionnement,Y,Y
Evaporative Cooler Part Load Ratio,Relación de Carga Parcial del Enfriador Evaporativo,Enfriador Evaporativo: Relación de Carga Parcial,Rapport de charge partielle du refroidisseur par évaporation,Refroidisseur Évaporatif: Rapport de Charge Partielle,Y,Y
Evaporative Cooler Stage Effectiveness,Efectividad de Etapa del Enfriador Evaporativo,Enfriador Evaporativo: Efectividad de Etapa,Efficacité de l&apos;étage du refroidisseur évaporatif,Refroidisseur Évaporatif: Efficacité de l'Étage,Y,Y
Evaporative Cooler Total Stage Effectiveness,Efectividad Total de Etapa del Enfriador Evaporativo,Enfriador Evaporativo: Efectividad de Etapa Total,Efficacité Totale du Refroidisseur Évaporatif par Étage,Refroidisseur Évaporatif : Efficacité Totale de l'Étage,Y,Y
Evaporative Cooler Water Volume,Volumen de Agua del Enfriador Evaporativo,Enfriador Evaporativo: Volumen de Agua,Volume d&apos;eau du refroidisseur par évaporation,Refroidisseur évaporatif : Volume d'eau,Y,Y
Exterior Windows Total Transmitted Beam Solar Radiation Energy,Energía de Radiación Solar de Haz Transmitida Total por Ventanas Exteriores,Ventanas Exteriores: Energía Total de Radiación Solar Directa Transmitida,Énergie Solaire du Rayonnement Direct Transmise Totale par les Fenêtres Extérieures,Fenêtres Extérieures: Énergie Totale du Rayonnement Solaire Direct Transmis,Y,Y
Exterior Windows Total Transmitted Beam Solar Radiation Rate,Tasa de Radiación Solar de Haz Transmitida Total por Ventanas Exteriores,Ventanas Exteriores: Velocidad Total de Radiación Solar Directa Transmitida,Débit de rayonnement solaire direct transmis total par les fenêtres extérieures,Fenêtres Extérieures: Débit de Rayonnement Solaire Direct Transmis Total,Y,Y
Exterior Windows Total Transmitted Diffuse Solar Radiation Energy,Energía de Radiación Solar Difusa Transmitida Total por Ventanas Exteriores,Ventanas Exteriores: Energía Total de Radiación Solar Difusa Transmitida,Énergie Solaire Diffuse Transmise Totale par les Fenêtres Extérieures,Fenêtres Extérieures: Énergie Solaire Diffuse Transmise Totale,Y,Y
Exterior Windows Total Transmitted Diffuse Solar Radiation Rate,Tasa de Radiación Solar Difusa Transmitida Total por Ventanas Exteriores,Ventanas Exteriores: Tasa de Radiación Solar Difusa Transmitida Total,Débit de rayonnement solaire diffus transmis total à travers les fenêtres extérieures,Fenêtres Extérieures : Débit de Rayonnement Solaire Diffus Transmis Total,Y,Y
Fan Air Mass Flow Rate,Caudal Másico de Aire del Ventilador,Ventilador: Caudal Másico del Aire,Débit massique d&apos;air du ventilateur,Ventilateur: Débit massique d'air,Y,Y
Fan Balanced Air Mass Flow Rate,Caudal Másico de Aire Balanceado del Ventilador,Ventilador: Flujo Másico de Aire Equilibrado,Débit massique d&apos;air équilibré du ventilateur,Ventilateur : Débit massique d'air équilibré,Y,Y
Fan Electricity Energy,Energía Eléctrica del Ventilador,Ventilador: Energía Eléctrica,Énergie électrique du ventilateur,Ventilateur: Énergie électrique,Y,Y
Fan Electricity Rate,Tasa de Electricidad del Ventilador,Ventilador: Potencia Eléctrica,Débit électrique du ventilateur,Ventilateur: Puissance Électrique,Y,Y
Fan Heat Gain to Air,Ganancia de Calor al Aire del Ventilador,Ventilador: Ganancia de Calor al Aire,Gain de chaleur du ventilateur à l&apos;air,Ventilateur : Gain de chaleur vers l'air,Y,Y
Fan Rise in Air Temperature,Incremento de Temperatura del Aire del Ventilador,Ventilador: Aumento de Temperatura del Aire,Augmentation de température de l&apos;air du ventilateur,Ventilateur : Augmentation de la température de l'air,Y,Y
Fan Runtime Fraction,Fracción de Tiempo en Funcionamiento del Ventilador,Ventilador: Fracción de Tiempo de Operación,Fraction de Fonctionnement du Ventilateur,Ventilateur : Fraction de fonctionnement,Y,Y
Fan Unbalanced Air Mass Flow Rate,Caudal Másico de Aire No Balanceado del Ventilador,Ventilador: Flujo Másico de Aire Desbalanceado,Débit massique d&apos;air déséquilibré du ventilateur,Ventilateur : Débit massique d'air déséquilibré,Y,Y
Fluid Heat Exchanger Effectiveness,Efectividad del Intercambiador de Calor de Fluido,Intercambiador de Calor de Fluido: Efectividad,Efficacité de l&apos;échangeur thermique à fluide,Échangeur de Chaleur Fluide : Efficacité,Y,Y
Fluid Heat Exchanger Heat Transfer Energy,Energía de Transferencia de Calor del Intercambiador de Calor de Fluido,Intercambiador de Calor de Fluido: Energía de Transferencia de Calor,Énergie de transfert de chaleur de l&apos;échangeur thermique à fluide,Échangeur de Chaleur Fluide: Énergie Transférée,Y,Y
Fluid Heat Exchanger Heat Transfer Rate,Tasa de Transferencia de Calor del Intercambiador de Calor de Fluido,Intercambiador de Calor de Fluido: Tasa de Transferencia de Calor,Débit de transfert de chaleur de l&apos;échangeur de chaleur à fluide,Échangeur de Chaleur Fluide : Débit de Transfert Thermique,Y,Y
Fluid Heat Exchanger Loop Demand Side Inlet Temperature,Temperatura de Entrada del Lado de Demanda del Circuito del Intercambiador de Calor de Fluido,Intercambiador de Calor de Fluido: Temperatura de Entrada Lado Demanda del Circuito,Température d&apos;entrée du côté demande de la boucle d&apos;échangeur thermique fluide,Échangeur de Chaleur Fluide: Température d'Entrée Côté Demande de la Boucle,Y,Y
Fluid Heat Exchanger Loop Demand Side Mass Flow Rate,Caudal Másico del Lado de Demanda del Circuito del Intercambiador de Calor de Fluido,Intercambiador de Calor de Fluido: Tasa de Flujo Másico del Lado de Demanda del Circuito,Débit Massique du Côté Demande de la Boucle d&apos;Échangeur de Chaleur à Fluide,Échangeur de Chaleur Fluide : Débit Massique du Côté Demande de Boucle,Y,Y
Fluid Heat Exchanger Loop Demand Side Outlet Temperature,Temperatura de Salida del Lado de Demanda del Circuito del Intercambiador de Calor de Fluido,Intercambiador de Calor de Fluido: Temperatura de Salida del Lado de Demanda del Circuito,Température de sortie du côté demande de la boucle échangeur de chaleur à fluide,Échangeur de Chaleur Fluide: Température de Sortie Côté Demande de Boucle,Y,Y
Fluid Heat Exchanger Loop Supply Side Inlet Temperature,Temperatura de Entrada del Lado de Suministro del Circuito del Intercambiador de Calor de Fluido,Intercambiador de Calor de Fluido: Temperatura de Entrada del Lado de Suministro del Lazo,Température d&apos;entrée du côté alimentation de la boucle d&apos;échangeur de chaleur à fluide,Échangeur de Chaleur Fluide : Température à l'Entrée du Côté Alimentation de la Boucle,Y,Y
Fluid Heat Exchanger Loop Supply Side Mass Flow Rate,Caudal Másico del Lado de Suministro del Circuito del Intercambiador de Calor de Fluido,Intercambiador de Calor de Fluido: Caudal Másico del Lado de Suministro del Circuito,Débit massique du côté alimentation de la boucle d&apos;échangeur de chaleur à fluide,Échangeur de Chaleur Fluide : Débit Massique du Côté Alimenté de la Boucle,Y,Y
Fluid Heat Exchanger Loop Supply Side Outlet Temperature,Temperatura de Salida del Lado de Suministro del Circuito del Intercambiador de Calor de Fluido,Intercambiador de Calor de Fluido: Temperatura de Salida del Lado de Suministro del Circuito,Température de sortie du côté alimentation de la boucle d&apos;échangeur thermique fluide,Échangeur thermique fluide : Température de sortie côté alimentation de la boucle,Y,Y
Fluid Heat Exchanger Operation Status,Estado de Operación del Intercambiador de Calor de Fluido,Intercambiador de Calor de Fluido: Estado de Operación,Statut de fonctionnement de l&apos;échangeur thermique à fluide,Échangeur de chaleur fluide : État de fonctionnement,Y,Y
Gas Equipment Convective Heating Energy,Energía de Calefacción Convectiva del Equipo de Gas,Equipo de Gas: Energía de Calentamiento Convectivo,Énergie de chauffage par convection de l&apos;équipement à gaz,Équipement Gaz : Énergie de Chauffage Convective,Y,Y
Gas Equipment Convective Heating Rate,Tasa de Calefacción Convectiva del Equipo de Gas,Equipo a Gas: Tasa de Calentamiento Convectivo,Taux de chauffage par convection des équipements à gaz,Équipement Gaz : Débit de Chauffage par Convection,Y,Y
Gas Equipment Latent Gain Energy,Energía de Ganancia Latente del Equipo de Gas,Equipo de Gas: Energía de Ganancia Latente,Énergie de Gain Latent des Équipements à Gaz,Équipement à Gaz: Énergie de Gain Latent,Y,Y
Gas Equipment Latent Gain Rate,Tasa de Ganancia Latente del Equipo de Gas,Equipo de Gas: Tasa de Ganancia Latente,Débit de gain latent équipement gaz,Équipement à gaz : Débit de gain latent,Y,Y
Gas Equipment Lost Heat Energy,Energía de Calor Perdido del Equipo de Gas,Equipo de Gas: Energía de Calor Perdido,Énergie perdue par la chaleur des équipements à gaz,Équipement à gaz: Énergie thermique perdue,Y,Y
Gas Equipment Lost Heat Rate,Tasa de Calor Perdido del Equipo de Gas,Equipo de Gas: Tasa de Calor Perdido,Débit de perte de chaleur de l&apos;équipement à gaz,Équipement à gaz: Débit de chaleur perdue,Y,Y
Gas Equipment NaturalGas Energy,Energía de Gas Natural del Equipo de Gas,Equipo de Gas: Energía de Gas Natural,Énergie Gaz Naturel des Équipements à Gaz,Équipement Gaz : Énergie Gaz Naturel,Y,Y
Gas Equipment NaturalGas Rate,Tasa de Gas Natural del Equipo de Gas,Equipo de Gas: Consumo de Gas Natural,Gas Equipment NaturalGas Rate,Équipement à Gaz : Débit de Gaz Naturel,Y,Y
Gas Equipment Radiant Heating Energy,Energía de Calefacción Radiante del Equipo de Gas,Equipo de Gas: Energía de Calefacción Radiante,Énergie de chauffage radiant par équipement à gaz,Équipement à gaz : Énergie de chauffage radiant,Y,Y
Gas Equipment Radiant Heating Rate,Tasa de Calefacción Radiante del Equipo de Gas,Equipo de Gas: Velocidad de Calentamiento Radiante,Débit de chauffage radiant des équipements à gaz,Équipement à Gaz : Débit de Chauffage par Rayonnement,Y,Y
Gas Equipment Total Heating Energy,Energía de Calefacción Total del Equipo de Gas,Equipo de Gas: Energía Total de Calefacción,Énergie de Chauffage Totale des Équipements au Gaz,Équipement à gaz: Énergie de chauffage totale,Y,Y
Gas Equipment Total Heating Rate,Tasa de Calefacción Total del Equipo de Gas,Equipo de Gas: Tasa Total de Calentamiento,Débit de chaleur total des équipements à gaz,Équipement à gaz : Puissance thermique totale,Y,Y
Generator Ancillary Electricity Energy,Energía Eléctrica Auxiliar del Generador,Generador: Energía Eléctrica Auxiliar,Énergie électrique auxiliaire du générateur,Générateur : Énergie Électrique Auxiliaire,Y,Y
Generator Ancillary Electricity Rate,Tasa de Electricidad Auxiliar del Generador,Generador: Tasa de Electricidad Auxiliar,Taux d&apos;électricité auxiliaire du générateur,Générateur : Puissance électrique auxiliaire,Y,Y
Generator Exhaust Air Mass Flow Rate,Caudal Másico del Aire de Escape del Generador,Generador: Caudal Másico de Aire de Escape,Débit massique de l&apos;air d&apos;échappement du générateur,Générateur: Débit massique de l'air d'échappement,Y,Y
Generator Exhaust Air Temperature,Temperatura del Aire de Escape del Generador,Generador: Temperatura del Aire de Escape,Température de l&apos;air d&apos;échappement du générateur,Générateur : Température de l'Air d'Échappement,Y,Y
Generator Fuel HHV Basis Energy,Energía Base PCS del Combustible del Generador,Generador: Energía en Base HHV del Combustible,Énergie de Base PCS du Combustible du Générateur,Générateur : Énergie sur base PCS du carburant,Y,Y
Generator Fuel HHV Basis Rate,Tasa Base PCS del Combustible del Generador,Generador: Tasa de Base PCI de Combustible,Taux de base du PCI du carburant du générateur,Générateur : Débit basé sur la PCI du combustible,Y,Y
Generator LHV Basis Electric Efficiency,Eficiencia Eléctrica Base PCI del Generador,Generador: Eficiencia Eléctrica en Base PCI,Rendement électrique sur la base du PCI du générateur,Générateur : Rendement Électrique Base PCI,Y,Y
Generator NaturalGas HHV Basis Energy,Energía Base PCS de Gas Natural del Generador,Generador: Energía Base PCI Gas Natural,Énergie du Générateur Gaz Naturel sur Base PCS,Générateur : Énergie sur base du PCS du gaz naturel,Y,Y
Generator NaturalGas HHV Basis Rate,Tasa Base PCS de Gas Natural del Generador,Generador: Tasa en Base PCI de Gas Natural,Taux de base du générateur en gaz naturel (PCS),Générateur: Débit sur base PCS gaz naturel,Y,Y
Generator NaturalGas Mass Flow Rate,Caudal Másico de Gas Natural del Generador,Generador: Flujo Másico de Gas Natural,Débit massique de gaz naturel du générateur,Générateur : Débit massique gaz naturel,Y,Y
Generator Produced AC Electricity Energy,Energía Eléctrica CA Producida por el Generador,Generador: Energía Eléctrica de CA Producida,Énergie électrique AC produite par le générateur,Générateur : Énergie électrique alternative produite,Y,Y
Generator Produced AC Electricity Rate,Tasa de Electricidad CA Producida por el Generador,Generador: Tasa de Electricidad CA Producida,Taux d&apos;électricité CA produite par le générateur,Générateur: Débit d'Électricité CA Produite,Y,Y
Generator Propane HHV Basis Energy,Energía Base PCS de Propano del Generador,Generador: Energía en Base del PCS del Propano,Énergie du Générateur sur la base du PCS du Propane,Générateur: Énergie base PCI Propane,Y,Y
Generator Propane HHV Basis Rate,Tasa Base PCS de Propano del Generador,Generador: Tasa de Base PCI Propano,Débit de base du PCS du générateur au propane,Générateur : Débit base PCI Propane,Y,Y
Generator Propane Mass Flow Rate,Caudal Másico de Propano del Generador,Generador: Flujo Másico de Propano,Débit massique de propane du générateur,Générateur : Débit massique de propane,Y,Y
Generator Standby Electric Energy,Energía Eléctrica en Espera del Generador,Generador: Energía Eléctrica en Espera,Énergie Électrique de Secours du Générateur,Générateur : Énergie électrique en attente,Y,Y
Generator Standby Electricity Rate,Tasa de Electricidad en Espera del Generador,Generador: Velocidad de Consumo Eléctrico en Espera,Taux d&apos;électricité en attente du générateur,Générateur : Puissance électrique en attente,Y,Y
Generic Air Contaminant Generation Volume Flow Rate,Caudal Volumétrico de Generación de Contaminante Genérico del Aire,Genérico: Tasa de Flujo Volumétrico de Generación de Contaminante del Aire,Débit volumique de génération de contaminant d&apos;air générique,Générique : Débit volumique de génération de contaminant aérien,Y,Y
Ground Heat Exchanger Average Borehole Temperature,Temperatura Promedio de la Perforación del Intercambiador de Calor de Suelo,Intercambiador de Calor Geotérmico: Temperatura Promedio del Pozo,Température moyenne du forage de l&apos;échangeur géothermique,Échangeur de Chaleur Géothermique : Température Moyenne du Forage,Y,Y
Ground Heat Exchanger Average Fluid Temperature,Temperatura Promedio del Fluido del Intercambiador de Calor de Suelo,Intercambiador de Calor Geotérmico: Temperatura Promedio del Fluido de Trabajo,Température moyenne du fluide de l&apos;échangeur géothermique,Échangeur Géothermique : Température Moyenne du Fluide Caloporteur,Y,Y
Ground Heat Exchanger Fluid Heat Transfer Rate,Tasa de Transferencia de Calor del Fluido del Intercambiador de Calor de Suelo,Intercambiador de Calor Geotérmico: Velocidad de Transferencia de Calor del Fluido,Débit de transfert de chaleur du fluide de l&apos;échangeur thermique souterrain,Échangeur Géothermique: Débit de Transfert Thermique du Fluide,Y,Y
Ground Heat Exchanger Heat Transfer Rate,Tasa de Transferencia de Calor del Intercambiador de Calor de Suelo,Intercambiador de Calor Geotérmico: Tasa de Transferencia de Calor,Débit de transfert thermique de l&apos;échangeur géothermique,Échangeur Géothermique: Débit de Transfert de Chaleur,Y,Y
Ground Heat Exchanger Inlet Temperature,Temperatura de Entrada del Intercambiador de Calor de Suelo,Intercambiador de Calor Geotérmico: Temperatura de Entrada,Température d&apos;entrée de l&apos;échangeur de chaleur géothermique,Échangeur de Chaleur Souterrain: Température à l'Entrée,Y,Y
Ground Heat Exchanger Mass Flow Rate,Caudal Másico del Intercambiador de Calor de Suelo,Intercambiador de Calor Geotérmico: Caudal Másico,Débit massique de l&apos;échangeur thermique souterrain,Échangeur Géothermique: Débit Massique,Y,Y
Ground Heat Exchanger Outlet Temperature,Temperatura de Salida del Intercambiador de Calor de Suelo,Intercambiador de Calor Geotérmico: Temperatura de Salida,Température de sortie de l&apos;échangeur géothermique,Échangeur de Chaleur Géothermique: Température de Sortie,Y,Y
HVAC System Solver Iteration Count,Conteo de Iteraciones del Solucionador del Sistema HVAC,HVAC: Conteo de Iteraciones del Solucionador del Sistema,Nombre d&apos;itérations du solveur du système HVAC,HVAC: Nombre d'itérations du solveur système,Y,Y
Heat Exchanger Defrost Time Fraction,Fracción de Tiempo de Desescarche del Intercambiador de Calor,Intercambiador de Calor: Fracción de Tiempo de Descongelación,Fraction de temps de décongélation de l&apos;échangeur thermique,Échangeur de Chaleur: Fraction de Temps de Dégivrage,Y,Y
Heat Exchanger Electricity Energy,Energía Eléctrica del Intercambiador de Calor,Intercambiador de Calor: Energía Eléctrica,Énergie Électrique de l&apos;Échangeur Thermique,Échangeur de Chaleur: Énergie Électrique,Y,Y
Heat Exchanger Electricity Rate,Tasa de Electricidad del Intercambiador de Calor,Intercambiador de Calor: Velocidad de Consumo Eléctrico,Puissance électrique de l&apos;échangeur thermique,Échangeur de Chaleur: Puissance Électrique,Y,Y
Heat Exchanger Exhaust Air Bypass Mass Flow Rate,Caudal Másico en Bypass del Aire de Escape del Intercambiador de Calor,Intercambiador de Calor: Caudal Másico de Derivación de Aire de Extracción,Débit massique de contournement de l&apos;air d&apos;extraction de l&apos;échangeur thermique,Échangeur de Chaleur: Débit Massique de l'Air Échappé Contournant l'Échangeur,Y,Y
Heat Exchanger Latent Cooling Energy,Energía de Enfriamiento Latente del Intercambiador de Calor,Intercambiador de Calor: Energía de Enfriamiento Latente,Énergie de refroidissement latent de l&apos;échangeur thermique,Échangeur de chaleur: Énergie de refroidissement latent,Y,Y
Heat Exchanger Latent Cooling Rate,Tasa de Enfriamiento Latente del Intercambiador de Calor,Intercambiador de Calor: Velocidad de Enfriamiento Latente,Débit de refroidissement latent de l&apos;échangeur thermique,Échangeur de chaleur : Débit de refroidissement latent,Y,Y
Heat Exchanger Latent Effectiveness,Efectividad Latente del Intercambiador de Calor,Intercambiador de Calor: Efectividad Latente,Efficacité latente de l&apos;échangeur de chaleur,Échangeur de Chaleur: Efficacité Latente,Y,Y
Heat Exchanger Latent Gain Energy,Energía de Ganancia Latente del Intercambiador de Calor,Intercambiador de Calor: Energía de Ganancia Latente,Énergie de gain latent de l&apos;échangeur de chaleur,Échangeur de Chaleur: Énergie de Gain Latent,Y,Y
Heat Exchanger Latent Gain Rate,Tasa de Ganancia Latente del Intercambiador de Calor,Intercambiador de Calor: Tasa de Ganancia Latente,Taux de gain latent de l&apos;échangeur thermique,Échangeur thermique : Débit de gain latent,Y,Y
Heat Exchanger Sensible Cooling Energy,Energía de Enfriamiento Sensible del Intercambiador de Calor,Intercambiador de Calor: Energía de Enfriamiento Sensible,Énergie de refroidissement sensible de l&apos;échangeur de chaleur,Échangeur de chaleur: Énergie de refroidissement sensible,Y,Y
Heat Exchanger Sensible Cooling Rate,Tasa de Enfriamiento Sensible del Intercambiador de Calor,Intercambiador de Calor: Tasa de Enfriamiento Sensible,Débit de refroidissement sensible de l&apos;échangeur thermique,Échangeur de Chaleur : Débit de Refroidissement Sensible,Y,Y
Heat Exchanger Sensible Effectiveness,Efectividad Sensible del Intercambiador de Calor,Intercambiador de Calor: Efectividad Sensible,Efficacité sensible de l&apos;échangeur de chaleur,Échangeur de Chaleur: Efficacité Sensible,Y,Y
Heat Exchanger Sensible Heating Energy,Energía de Calefacción Sensible del Intercambiador de Calor,Intercambiador de Calor: Energía de Calentamiento Sensible,Énergie de chauffage sensible de l&apos;échangeur de chaleur,Échangeur de Chaleur: Énergie de Chauffage Sensible,Y,Y
Heat Exchanger Sensible Heating Rate,Tasa de Calefacción Sensible del Intercambiador de Calor,Intercambiador de Calor: Velocidad de Calentamiento Sensible,Débit de chaleur sensible de l&apos;échangeur thermique,Échangeur de Chaleur : Puissance de Chauffage Sensible,Y,Y
Heat Exchanger Supply Air Bypass Mass Flow Rate,Caudal Másico en Bypass del Aire de Suministro del Intercambiador de Calor,Intercambiador de Calor: Caudal Másico de Aire de Suministro en Derivación,Débit massique de contournement de l&apos;air soufflé de l&apos;échangeur thermique,Échangeur de Chaleur: Débit Massique d'Air Alimenté en Dérivation,Y,Y
Heat Exchanger Total Cooling Energy,Energía Total de Enfriamiento del Intercambiador de Calor,Intercambiador de Calor: Energía Total de Enfriamiento,Énergie de refroidissement totale de l&apos;échangeur de chaleur,Échangeur Thermique: Énergie Totale de Refroidissement,Y,Y
Heat Exchanger Total Cooling Rate,Tasa Total de Enfriamiento del Intercambiador de Calor,Intercambiador de Calor: Velocidad Total de Enfriamiento,Taux de refroidissement total de l&apos;échangeur de chaleur,Échangeur de chaleur : Débit de refroidissement total,Y,Y
Heat Exchanger Total Heating Energy,Energía Total de Calefacción del Intercambiador de Calor,Intercambiador de Calor: Energía Total de Calentamiento,Énergie de chauffage totale de l&apos;échangeur de chaleur,Échangeur de Chaleur : Énergie Thermique Totale,Y,Y
Heat Exchanger Total Heating Rate,Tasa Total de Calefacción del Intercambiador de Calor,Intercambiador de Calor: Tasa Total de Calentamiento,Débit de chauffage total de l&apos;échangeur de chaleur,Échangeur de Chaleur: Débit de Chauffage Total,Y,Y
Heating Coil Air Heating Energy,Energía de Calefacción del Aire del Serpentín de Calefacción,Serpentín de Calefacción: Energía de Calefacción del Aire,Énergie de chauffage de l&apos;air de la batterie de chauffage,Serpentin de Chauffage : Énergie de Chauffage de l'Air,Y,Y
Heating Coil Air Heating Rate,Tasa de Calefacción del Aire del Serpentín de Calefacción,Serpentín de Calefacción: Tasa de Calentamiento de Aire,Débit de chauffage de la bobine de chauffage de l&apos;air,Serpentin de Chauffage: Puissance de Chauffage de l'Air,Y,Y
Heating Coil Ancillary Coal Energy,Energía Auxiliar de Carbón del Serpentín de Calefacción,Bobina de Calefacción: Energía Auxiliar de Carbón,Énergie Auxiliaire du Charbon de la Batterie de Réchauffage,Serpentin de Chauffage: Énergie Auxiliaire Charbon,Y,Y
Heating Coil Ancillary Coal Rate,Tasa Auxiliar de Carbón del Serpentín de Calefacción,Serpentín de Calefacción: Tasa Auxiliar de Carbón,Débit de charbon auxiliaire de la bobine de chauffage,Serpentin de chauffage : Consommation auxiliaire de charbon,Y,Y
Heating Coil Ancillary Diesel Energy,Energía Auxiliar de Diésel del Serpentín de Calefacción,Serpentín de Calentamiento: Energía Diesel Auxiliar,Énergie Diesel Auxiliaire de Serpentin de Chauffage,Serpentin de Chauffage: Énergie Auxiliaire au Diesel,Y,Y
Heating Coil Ancillary Diesel Rate,Tasa Auxiliar de Diésel del Serpentín de Calefacción,Serpentín de Calefacción: Tasa de Diésel Auxiliar,Taux de Diesel Auxiliaire de la Batterie de Chauffage,Serpentin de chauffage : Débit auxiliaire de diesel,Y,Y
Heating Coil Ancillary FuelOilNo1 Energy,Energía Auxiliar de Combustóleo No. 1 del Serpentín de Calefacción,Bobina de Calefacción: Energía Auxiliar de Combustible Diésel,Énergie Combustible Auxiliaire Serpentin de Chauffage Fioul Domestique No1,Serpentin de Chauffage: Énergie Auxiliaire Fioul Lourd,Y,Y
Heating Coil Ancillary FuelOilNo1 Rate,Tasa Auxiliar de Combustóleo No. 1 del Serpentín de Calefacción,Serpentín de Calefacción: Tasa de Combustible Destilado Nº 1 Auxiliar,Débit de Combustible Auxiliaire Serpentin de Chauffage FuelOilNo1,Serpentin de chauffage : Débit de combustible auxiliaire No1,Y,Y
Heating Coil Ancillary FuelOilNo2 Energy,Energía Auxiliar de Combustóleo No. 2 del Serpentín de Calefacción,Serpentín de Calentamiento: Energía Auxiliar de Combustible Diésel,Énergie auxiliaire de la bobine de chauffage - Fioul lourd n°2,Serpentin de Chauffage : Énergie Auxiliaire Fioul Lourd,Y,Y
Heating Coil Ancillary FuelOilNo2 Rate,Tasa Auxiliar de Combustóleo No. 2 del Serpentín de Calefacción,Serpentín de Calefacción: Tasa de Consumo de Combustible Aceitoso N°2,Débit de Combustible Auxiliaire Mazout No2 de la Serpentin de Chauffage,Serpentin de Chauffage: Débit de Combustible Auxiliaire Fioul Lourd,Y,Y
Heating Coil Ancillary Gasoline Energy,Energía Auxiliar de Gasolina del Serpentín de Calefacción,Serpentín de Calefacción: Energía Auxiliar de Gasolina,Énergie Auxiliaire en Essence de la Batterie de Chauffage,Serpentin de Chauffage: Énergie Essence Auxiliaire,Y,Y
Heating Coil Ancillary Gasoline Rate,Tasa Auxiliar de Gasolina del Serpentín de Calefacción,Serpentín de Calefacción: Consumo de Gasolina Auxiliar,Débit de consommation d&apos;essence auxiliaire de la batterie de chauffage,Serpentin de Chauffage: Consommation Auxiliaire d'Essence,Y,Y
